R:\NucleusCount\05131B\1R\Image.png,203.88,12.79
R:\NucleusCount\05131B\2L\Image.png,204.53,12.64
R:\NucleusCount\05131B\2R\Image.png,205.79,9.45
R:\NucleusCount\05131B\3L\Image.png,202.52,9.79
R:\NucleusCount\05131B\3R\Image.png,202.79,12.58
R:\NucleusCount\05131B\4L\Image.png,192.50,15.90
R:\NucleusCount\05131B\4R\Image.png,197.46,14.20
R:\NucleusCount\05131B\5L\Image.png,200.15,10.21
R:\NucleusCount\05131B\5R\Image.png,198.60,11.93
R:\NucleusCount\05131B\6L\Image.png,207.82,8.37
R:\NucleusCount\05131B\6R\Image.png,208.95,7.84
R:\NucleusCount\05056A\1L\Image.png,200.40,16.34
R:\NucleusCount\05056A\1R\Image.png,189.26,27.77
R:\NucleusCount\05056A\2L\Image.png,153.01,50.38
R:\NucleusCount\05056A\2R\Image.png,160.63,38.00
R:\NucleusCount\05056A\3L\Image.png,171.65,33.86
R:\NucleusCount\05056A\3R\Image.png,195.50,18.44
R:\NucleusCount\05056A\4L\Image.png,163.13,31.55
R:\NucleusCount\05056A\4R\Image.png,139.15,49.45
R:\NucleusCount\05056A\5L\Image.png,178.10,30.22
R:\NucleusCount\05056A\5R\Image.png,185.54,25.67
R:\NucleusCount\05056A\6L\Image.png,179.98,34.46
R:\NucleusCount\05056A\6R\Image.png,201.58,15.14
R:\NucleusCount\05056A\7L\Image.png,198.29,19.50
R:\NucleusCount\05056A\7R\Image.png,202.11,16.51
